"","lake","date","day","atmp_C","RH_pct","irr_factor","ltmp_bot_C","ltmp_surf_C","area_m2","vol_m3","dV_m3","P_mm","E_mm","I_mm","P_m3","E_m3","I_m3","C_lake","dC_lake","C_pcpn","C_GWin","C_evap","C_ice","res_time","GWin_m3","C_lake_meas","C_lake_calc","P_lake","P_sed","ks","ks_tmp","kr","kr_tmp","dep","fd","sed","rel","TP_in"
"11","Pleasant",2018-07-09,190,24.65,73.2,0.946300087687414,16.049,26.779375,548234.868496611,2680032.61624513,-3561.56555772061,0,4.55580868966553,0,0,2497.65317787449,0,0.0093875,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7127.74631980088,NA,0.0098106770970599,0.0479592527189507,3.07621833464176,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000767430246584632,0.00104546409910481,0.000441797719722123
"12","Pleasant",2018-07-10,191,22.4,70.9,0.943019931290011,16.0429583333333,27.0722916666667,547998.724118066,2677347.74374774,-2684.87249738676,0,2.24468767079049,0,0,1230.08597963674,0,0.00938453125,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7120.60570145677,NA,0.00984719912636501,0.04811028785813,3.07594086154335,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000770953006227851,0.00104484993197665,0.000418580046184432
"13","Pleasant",2018-07-11,192,23.35,69.9,0.939645473685325,16.0647916666667,27.1849583333333,547714.387009208,2674114.93808764,-3232.80566010298,0,5.43554882843531,0,0,2977.12829462507,0,0.0093815625,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7112.00781406288,NA,0.00988400197097057,0.0482568249904594,3.0756675665882,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000774091585917315,0.00104663684412008,0.000449346478912378
"14","Pleasant",2018-07-12,193,24.7,76.4,0.936177052316306,16.080875,27.0291666666667,547545.712453107,2672197.1720181,-1917.76606953982,0.76,6.50500808790312,0,416.134741464361,3561.78928800413,0,0.00937859375,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,6690.77263092421,NA,0.00991771341729637,0.0484015948693143,3.07539559705431,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000776374912568275,0.00104793103293012,0.000429754699295584
"15","Pleasant",2018-07-13,194,24.9,84.6,0.9326150140222,16.090625,27.081625,547632.459367674,2673183.45171102,986.279692914803,1.52,3.28721232987425,0,832.401338238865,1800.18417267277,0,0.009375625,-2.96874999999863e-06,0,0.0391172427234927,0,0,376,6277.12911843937,NA,0.00994498447519856,0.0485449090386643,3.07512453389323,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000778630214817992,0.00104868015487848,0.00036797397907365
"16","Pleasant",2018-07-14,195,25.55,75.35,0.928959715003869,16.145375,27.4174583333333,547964.989206846,2676964.19053384,3780.73882282013,0,2.64986037914907,0,0,1452.03071406007,0,0.00937265625,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7119.58561312191,NA,0.00996593307263873,0.0486864060408796,3.0748550481298,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000781043722015339,0.00105332567342565,0.000421134822029656
"17","Pleasant",2018-07-15,196,25.65,77.45,0.925211520788168,16.1770833333333,27.9401666666667,547810.772469838,2675210.80441311,-1753.38612073055,0,0.278828909676285,0,0,152.745480396688,0,0.0093696875,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7114.92235216252,NA,0.00999900660614538,0.0488297270708216,3.07458329821966,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000784844966515494,0.00105598578504805,0.000397147085323374
"18","Pleasant",2018-07-16,197,23.95,66.6,0.921370806191395,16.22475,28.1693333333333,547536.073907044,2672087.58538555,-3123.21902755415,0,4.90160555551838,0,0,2683.80586170949,0,0.00936671875,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7106.6159185786,NA,0.0100347421369426,0.0489715859182311,3.07431275046494,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000788182566531574,0.00106004489444761,0.000442697920177665
"19","Pleasant",2018-07-17,198,20.1,67.8,0.91743795528181,16.3478333333333,27.7732916666667,547111.977880272,2667265.77355353,-4821.81183202518,0,10.7961521874075,0,0,5906.70417674892,0,0.00936375,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7093.79195094023,NA,0.0100742808339077,0.0491138661696941,3.074041559534,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000790364256484226,0.00107074734003634,0.000501170437269675
"20","Pleasant",2018-07-18,199,21.5,69.5,0.913413361341225,16.471875,27.63575,546808.363679287,2663813.79462832,-3451.97892520251,0,7.56400966794229,0,0,4136.06374938183,0,0.00936078125,-2.96874999999863e-06,0,0.0391172427234927,0,0,376,7084.61115592639,NA,0.0101126067526014,0.049264245312515,3.07376180373807,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000793049238817392,0.00108164015835611,0.000468244600720519
